City,City Name
bhanvad,bhanvad
bharthana,bharthana
bharuch,bharuch
bharwari,bharwari
bhasawar,bhasawar
bhatapara,bhatapara
bhatgaon,bhatgaon
bhatinda,bhatinda
bhatkal,bhatkal
bhatpara,bhatpara
bhattiprolu,bhattiprolu
bhaunagar,bhaunagar
bhavani,bhavani
bhavnagar,bhavnagar
bhawaniganj,bhawaniganj
bhawanigarh,bhawanigarh
bhawanipatna,bhawanipatna
bhayavadar,bhayavadar
bhigvan,bhigvan
bhikangaon,bhikangaon
bhikhi,bhikhi
bhilai,bhilai
bhilwara,bhilwara
bhimtal,bhim-tal
bhimavaram,bhimavaram
bhimunipatnam,bhimunipatnam
bhind,bhind
bhindar,bhindar
bhinga,bhinga
bhinmal,bhinmal
bhitarwar,bhitarwar
bhiwadi,bhiwadi
bhiwandi,bhiwandi
bhiwani,bhiwani
bhogpur,bhogpur
bhojudih,bhojudih
bholath,bholath
bhongaon,bhongaon
bhongir,bhongir
bhopal,bhopal
bairagarh,bhopal-bairagarh
bhor,bhor
bhowali,bhowali
bhuban,bhuban
bhubaneshwar,bhubaneshwar
bhubaneswar,bhubaneswar
bhudgaon,bhudgaon
bhuj,bhuj
rudramata,bhuj-rudramata
bhum,bhum
bhusawal,bhusawal
bhuvanagiri,bhuvanagiri
biaora,biaora
bidar,bidar
bidhuna,bidhuna
bighapur,bighapur
bihar-sharif,bihar-sharif
bihariganj,bihariganj
bihpuriagaon,bihpuriagaon
bijapur,bijapur
bijawar,bijawar
bijbiara,bijbiara
bijni,bijni
bijnor,bijnor
bijroni,bijroni
bikaner,bikaner
bikapur,bikapur
bikramganj,bikramganj
bilara,bilara
bilari,bilari
bilariaganj,bilariaganj
bilasipara,bilasipara
bilaspur,bilaspur
chhattisgarh,bilaspur-chhattisgarh
bilgi,bilgi
bilgram,bilgram
bilhaur,bilhaur
bilkha,bilkha
biloli,biloli
bilsanda,bilsanda
bilsi,bilsi
bindki,bindki
binika,binika
birbhaddar,birbhaddar
birmitrapur,birmitrapur
birpara,birpara
birpur,birpur
birur,birur
bisalpur,bisalpur
bisauli,bisauli
bisenda-buzurg,bisenda-buzurg
bishnah,bishnah
bishnupur,bishnupur
biswan,biswan
bithur,bithur
bobbili,bobbili
bodhgaya,bodh-gaya
bodhan,bodhan
bodinayakkanur,bodinayakkanur
bodri,bodri
boisar,boisar
bokajan,bokajan
bokakhat,bokakhat
bokaro,bokaro
bolanikhodan,bolanikhodan
bolpur,bolpur
santacruz,bombay-santacruz
juhu,bombay-juhu
bomdila,bomdila
bongaigaon,bongaigaon
borivli,borivli
borkhera,borkhera
borsad,borsad
botad,botad
brahmapur,brahmapur
brajarajnagar,brajarajnagar
budaun,budaun
budhana,budhana
budhlada,budhlada
buguda,buguda
bulandshahr,bulandshahr
buldana,buldana
bundi,bundi
bundu,bundu
burhanpur,burhanpur
burhar,burhar
buriya,buriya
burla,burla
buxar,buxar
byadgi,byadgi
calangute,calangute
calcutta,calcutta
calicut,calicut
canacona,canacona
candolim,candolim
cannanore,cannanore
canning,canning
carnicobar,car-nicobar
carapur,carapur
cavelossim,cavelossim
chabua,chabua
chaibasa,chaibasa
chail,chail
chakan,chakan
chakapara,chakapara
chakia,chakia
chaklasi,chaklasi
chakradharpur,chakradharpur
chakrata,chakrata
chakulia,chakulia
chalala,chalala
chalisgaon,chalisgaon
challakere,challakere
challapalle,challapalle
chamba,chamba
champa,champa
champahati,champahati
champawat,champawat
champua,champua
chamrajnagar,chamrajnagar
chanasma,chanasma
chandannagar,chandannagar
chandauli,chandauli
chandausi,chandausi
chandbali,chandbali
chanderi,chanderi
chandia,chandia
chandigarh,chandigarh
chandil,chandil
chandla,chandla
chandpur,chandpur
chandrakona,chandrakona
chandrapur,chandrapur
chandur,chandur
chandur bazar,chandur-bazar
chandvad,chandvad
changanacheri,changanacheri
channagiri,channagiri
channapatna,channapatna
channarayapatna,channarayapatna
chapar,chapar
charkhari,charkhari
charkhi-dadri,charkhi-dadri
charthawal,charthawal
 , 
chatakonda,chatakonda
chatra,chatra
chatrapur,chatrapur
chatsu,chatsu
chaupal,chaupal
chavakkad,chavakkad
chechat,chechat
chelakara,chelakara
chemmumiahpet,chemmumiahpet
chengalpattu,chengalpattu
chengam,chengam
chengannur,chengannur
chennai,chennai
chennimalai,chennimalai
cherrapunji,cherrapunji
chetput,chetput
chettipalaiyam,chettipalaiyam
cheyur,cheyur
chhabra,chhabra
chhachhrauli,chhachhrauli
chhala,chhala
chhapar,chhapar
chhaprauli,chhaprauli
chharra,chharra
chhata,chhata
chhatapur,chhatapur
chhatarpur,chhatarpur
chhibramau,chhibramau
chhindwara,chhindwara
chhota-udepur,chhota-udepur
chhoti-sadri,chhoti-sadri
chhuikhadan,chhuikhadan
chhutmalpur,chhutmalpur
chicalim,chicalim
chichli,chichli
chicholi,chicholi
chidambaram,chidambaram
chik-ballapur,chik-ballapur
chikhli,chikhli
chikitigarh,chikitigarh
chikmagalur,chikmagalur
chiknayakanhalli,chiknayakanhalli
chikodi,chikodi
chilakalurupet,chilakalurupet
chillupar,chillupar
chinchani,chinchani
chinchinim,chinchinim
chincholi,chincholi
chinna salem,chinna-salem
chinnachowk,chinnachowk
chinnamanur,chinnamanur
chinnasekkadu,chinnasekkadu
chintamani,chintamani
chiplun,chiplun
chipurupalle,chipurupalle
chirala,chirala
chirawa,chirawa
chirgaon,chirgaon
chiria,chiria
chitapur,chitapur
chitradurga,chitradurga
chitrakonda,chitrakonda
chittaranjan,chittaranjan
chittaurgarh,chittaurgarh
chittur,chittur
chodavaram,chodavaram
cholapuram,cholapuram
chopan,chopan
chopda,chopda
chorhat,chorhat
chotila,chotila
chowari,chowari
chuarikhas,chuari-khas
chunar,chunar
churachandpur,churachandpur
churu,churu
clement town,clement-town
cochin,cochin
willingdon,cochin-willingdon
intl,cochin-intl
coimbatore,coimbatore
peelamedu,coimbatore-peelamedu
colgong,colgong
colonelganj,colonelganj
colovale,colovale
colva,colva
contai,contai
coondapoor,coondapoor
cortalim,cortalim
cuddalore,cuddalore
cuddapah,cuddapah
cumbum,cumbum
cuncolim,cuncolim
curchorem,curchorem
curti,curti
cuttack,cuttack
dabhoi,dabhoi
dabhol,dabhol
daboh,daboh
dabra,dabra
dabwali,dabwali
dadri,dadri
dagshai,dagshai
dahanu,dahanu
dahegam,dahegam
dahod,dahod
daitari,daitari
dakor,dakor
dalhousie,dalhousie
dalkola,dalkola
dalmau,dalmau
dalsingh sarai,dalsingh-sarai
daltenganj,daltenganj
dam-dam,dam-dam
daman,daman
damnagar,damnagar
damoh,damoh
danapur,danapur
dandeli,dandeli
dankaur,dankaur
darbhanga,darbhanga
dariba,dariba
darjiling,darjiling
darlawn,darlawn
darwha,darwha
daryapur,daryapur
dasna,dasna
dasnapur,dasnapur
dasua,dasua
dataganj,dataganj
datia,datia
dattapur,dattapur
daudnagar,daudnagar
daulatpur,daulatpur
daund,daund
daurala,daurala
dausa,dausa
davorlim,davorlim
dayalbagh,dayal-bagh
debipur,debipur
dehradun,dehra-dun
dehri,dehri
dehu,dehu
delhi,delhi
delvada,delvada
denkanikota,denkanikota
deoband,deoband
deogarh,deogarh
deolali,deolali
deoli,deoli
deoranian,deoranian
deori,deori
deorikhas,deori-khas
deoria,deoria
depalpur,depalpur
dera gopipur,dera-gopipur
dera nanak,dera-nanak
dergaon,dergaon
deshnoke,deshnoke
desur,desur
deulgaon raja,deulgaon-raja
devadanappatti,devadanappatti
devakottai,devakottai
devanhalli,devanhalli
devaprayag,devaprayag
devarkonda,devarkonda
devgadh,devgadh-bariya
devgarh,devgarh
devli,devli
dewa,dewa
dewas,dewas
dhamnod,dhamnod
dhampur,dhampur
dhamtari,dhamtari
dhana,dhana
dhanaula,dhanaula
dhanaura,dhanaura
dhanbad,dhanbad
dhandhuka,dhandhuka
dhanera,dhanera
dhanwar,dhanwar
dhar,dhar
dharampur,dharampur
dharampuri,dharampuri
dharangaon,dharangaon
dharapuram,dharapuram
dharchula,dharchula
dhari,dhari
dhariwal,dhariwal
dharmabad,dharmabad
dharmadam,dharmadam
dharmanagar,dharmanagar
dharmapuri,dharmapuri
dharmavaram,dharmavaram
dharmsala,dharmsala
dharuhera,dharuhera
dharur,dharur
dhaulpur,dhaulpur
dhaurahra,dhaurahra
dhekiajuli,dhekiajuli
dhemaji,dhemaji
dhenkanal,dhenkanal
dhilwan,dhilwan
dhing,dhing
dhola,dhola
dholka,dholka
dhone,dhone
dhoraji,dhoraji
dhrangadhra,dhrangadhra
dhrol,dhrol
dhuburi,dhuburi
dhulagari,dhulagari
dhule,dhule
dhulian,dhulian
dhupgari,dhupgari
dhuri,dhuri
dhuwaran,dhuwaran
dibrugarh,dibrugarh
mohanbari,dibrugarh-mohanbari
dicholi,dicholi
didwana,didwana
dig,dig
digapahandi,digapahandi
digboi,digboi
digha,digha
dighwara,dighwara
diglur,diglur
digras,digras
dimapur,dimapur
dinanagar,dinanagar
dindigul,dindigul
dindori,dindori
dinhata,dinhata
diphu,diphu
dirba,dirba
disa,disa
dispur,dispur
diu,diu
dodballapur,dod-ballapur
doda,doda
dogadda,dogadda
dohrighat,dohrighat
doiwala,doiwala
dombivli,dombivli
dondaicha,dondaicha
dongargaon,dongargaon
dongargarh,dongargarh
doraha,doraha
dornakal,dornakal
dostpur,dostpur
dubrajpur,dubrajpur
dudhani,dudhani
dudhi,dudhi
dugda,dugda
duliagaon,duliagaon
dum-duma,dum-duma
dumjor,dumjor
dumka,dumka
dumra,dumra
dumraon,dumraon
dundwaraganj,dundwaraganj
dungarpur,dungarpur
durg,durg
durgapur,durgapur
dusi,dusi
dwarahat,dwarahat
dwarka,dwarka
edakkulam,edakkulam
